employee_id,full_name,target_role,target_grade,rank,event_id,event_title,event_type,format,duration_hours,next_session,skills_covered,critical_skills_covered,useful_gain,ranking_score
E0039,Pavel Petrov,Data Analyst,Senior,3,EV_038,Leadership Foundations,course,online,16,2026-10-08,Leadership; Stakeholder Management,0,2.0,20.125
E0039,Pavel Petrov,Data Analyst,Senior,4,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0039,Pavel Petrov,Data Analyst,Senior,5,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Mentoring,0,1.0,10.0833
E0040,Irina Pavlova,Backend Engineer,Junior,1,EV_011,Secure Coding Workshop,workshop,offline,6,2026-11-23,Application Security,0,1.0,10.1667
E0041,Moldir Seitkali,Product Manager,Lead,1,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0042,Ekaterina Kuznetsova,Frontend Engineer,Middle,1,EV_013,TypeScript in Depth,course,online,12,2026-10-21,TypeScript; JavaScript,1,2.0,120.1667
E0042,Ekaterina Kuznetsova,Frontend Engineer,Middle,2,EV_017,React Patterns & State Management,course,online,16,2026-10-16,React,1,1.0,110.0625
E0042,Ekaterina Kuznetsova,Frontend Engineer,Middle,3,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0042,Ekaterina Kuznetsova,Frontend Engineer,Middle,4,EV_008,Business Writing & Documentation,workshop,online,4,2026-10-12,Communication,0,1.0,10.25
E0042,Ekaterina Kuznetsova,Frontend Engineer,Middle,5,EV_005,System Design Fundamentals,course,online,16,2026-11-23,API Design,0,1.0,10.0625
E0045,Kanat Temirkhanov,Sales Manager,Middle,1,EV_033,Consultative Selling & Prospecting,course,online,10,2026-10-23,Prospecting,1,1.0,110.1
E0045,Kanat Temirkhanov,Sales Manager,Middle,2,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0045,Kanat Temirkhanov,Sales Manager,Middle,3,EV_034,Handling Difficult Conversations,workshop,online,4,2026-10-16,Emotional Intelligence,0,1.0,10.25
E0046,Dauren Zhumabekov,Sales Manager,Senior,1,EV_038,Leadership Foundations,course,online,16,2026-10-08,Leadership,0,1.0,10.0625
E0047,Symbat Baimukhanova,Backend Engineer,Middle,1,EV_040,Structured Problem Solving,workshop,offline,4,2026-11-09,Problem Solving,0,1.0,10.25
E0048,Denis Smirnov,Data Analyst,Senior,1,EV_021,A/B Testing Workshop,workshop,online,6,2026-11-19,A/B Testing; Product Analytics,1,2.0,120.3333
E0048,Denis Smirnov,Data Analyst,Senior,2,EV_038,Leadership Foundations,course,online,16,2026-10-08,Leadership; Stakeholder Management,0,2.0,20.125
E0048,Denis Smirnov,Data Analyst,Senior,3,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0048,Denis Smirnov,Data Analyst,Senior,4,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Mentoring,0,1.0,10.0833
E0049,Yulia Popova,Sales Manager,Junior,1,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0049,Yulia Popova,Sales Manager,Junior,2,EV_033,Consultative Selling & Prospecting,course,online,10,2026-10-23,CRM Systems,0,1.0,10.1
E0050,Symbat Abenova,Data Analyst,Lead,1,EV_023,Data Storytelling & Visualization,workshop,offline,6,2026-10-21,Data Visualization; Public Speaking,0,2.0,20.3333
E0050,Symbat Abenova,Data Analyst,Lead,2,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0051,Kamila Abenova,Sales Manager,Lead,1,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0052,Maxim Kozlov,HR Business Partner,Middle,1,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0052,Maxim Kozlov,HR Business Partner,Middle,2,EV_031,Designing Learning Programs,workshop,online,6,2026-10-19,Public Speaking,0,1.0,10.1667
E0053,Aigerim Abenova,QA Engineer,Middle,1,EV_009,Cloud Certification Prep,certification,self_paced,40,self_paced,CI/CD,0,1.0,10.025
E0054,Dinara Sadykova,Data Analyst,Senior,1,EV_023,Data Storytelling & Visualization,workshop,offline,6,2026-10-21,Data Visualization; Public Speaking,0,2.0,20.3333
E0054,Dinara Sadykova,Data Analyst,Senior,2,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0054,Dinara Sadykova,Data Analyst,Senior,3,EV_025,Dimensional Data Modeling,course,online,10,2026-10-13,Data Modeling,0,1.0,10.1
E0056,Anna Kozlova,Sales Manager,Senior,1,EV_038,Leadership Foundations,course,online,16,2026-10-08,Leadership; Stakeholder Management,0,2.0,20.125
E0056,Anna Kozlova,Sales Manager,Senior,2,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0058,Ksenia Pavlova,Backend Engineer,Junior,1,EV_040,Structured Problem Solving,workshop,offline,4,2026-11-09,Teamwork,0,1.0,10.25
E0058,Ksenia Pavlova,Backend Engineer,Junior,2,EV_011,Secure Coding Workshop,workshop,offline,6,2026-11-23,Application Security,0,1.0,10.1667
E0059,Elena Ivanova,Sales Manager,Senior,1,EV_032,Negotiation Masterclass,workshop,offline,8,2026-10-15,Negotiation; Account Management,2,2.0,220.25
E0059,Elena Ivanova,Sales Manager,Senior,2,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0059,Elena Ivanova,Sales Manager,Senior,3,EV_038,Leadership Foundations,course,online,16,2026-10-08,Stakeholder Management,0,1.0,10.0625
E0061,Alibek Kaliyev,Data Analyst,Lead,1,EV_040,Structured Problem Solving,workshop,offline,4,2026-11-09,Critical Thinking,0,1.0,10.25
E0063,Samat Baimukhanov,QA Engineer,Lead,1,EV_038,Leadership Foundations,course,online,16,2026-10-08,Leadership,1,1.0,110.0625
E0064,Natalia Kuznetsova,Data Analyst,Senior,1,EV_023,Data Storytelling & Visualization,workshop,offline,6,2026-10-21,Data Visualization,0,1.0,10.1667
E0064,Natalia Kuznetsova,Data Analyst,Senior,2,EV_025,Dimensional Data Modeling,course,online,10,2026-10-13,Data Modeling,0,1.0,10.1
E0064,Natalia Kuznetsova,Data Analyst,Senior,3,EV_038,Leadership Foundations,course,online,16,2026-10-08,Stakeholder Management,0,1.0,10.0625
E0065,Madi Kassymov,QA Engineer,Senior,1,EV_038,Leadership Foundations,course,online,16,2026-10-08,Leadership,0,1.0,10.0625
E0066,Madina Utepova,QA Engineer,Senior,1,EV_019,API & Performance Testing Workshop,workshop,offline,8,2026-10-16,API Testing; Load Testing,1,2.0,120.25
E0066,Madina Utepova,QA Engineer,Senior,2,EV_008,Business Writing & Documentation,workshop,online,4,2026-10-12,Written Communication,0,1.0,10.25
E0066,Madina Utepova,QA Engineer,Senior,3,EV_040,Structured Problem Solving,workshop,offline,4,2026-11-09,Critical Thinking,0,1.0,10.25
E0066,Madina Utepova,QA Engineer,Senior,4,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Mentoring,0,1.0,10.0833
E0066,Madina Utepova,QA Engineer,Senior,5,EV_038,Leadership Foundations,course,online,16,2026-10-08,Leadership,0,1.0,10.0625
E0067,Yerlan Nurlanov,Frontend Engineer,Senior,1,EV_038,Leadership Foundations,course,online,16,2026-10-08,Leadership; Stakeholder Management,0,2.0,20.125
E0067,Yerlan Nurlanov,Frontend Engineer,Senior,2,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Mentoring,0,1.0,10.0833
E0067,Yerlan Nurlanov,Frontend Engineer,Senior,3,EV_017,React Patterns & State Management,course,online,16,2026-10-16,React,0,1.0,10.0625
E0068,Gulnara Seitkali,Frontend Engineer,Middle,1,EV_008,Business Writing & Documentation,workshop,online,4,2026-10-12,Communication,0,1.0,10.25
E0068,Gulnara Seitkali,Frontend Engineer,Middle,2,EV_016,Accessible Interfaces,workshop,online,4,2026-10-06,HTML & CSS,0,1.0,10.25
E0069,Zhanna Bekova,Backend Engineer,Senior,1,EV_038,Leadership Foundations,course,online,16,2026-10-08,Leadership; Stakeholder Management,0,2.0,20.125
E0069,Zhanna Bekova,Backend Engineer,Senior,2,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Mentoring,0,1.0,10.0833
E0069,Zhanna Bekova,Backend Engineer,Senior,3,EV_010,Kubernetes in Practice,course,online,20,2026-10-16,CI/CD,0,1.0,10.05
E0069,Zhanna Bekova,Backend Engineer,Senior,4,EV_009,Cloud Certification Prep,certification,self_paced,40,self_paced,CI/CD,0,1.0,10.025
E0070,Daniyar Omarov,Customer Support Specialist,Lead,1,EV_008,Business Writing & Documentation,workshop,online,4,2026-10-12,Written Communication,0,1.0,10.25
E0071,Nurlan Kaliyev,Product Manager,Middle,1,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0071,Nurlan Kaliyev,Product Manager,Middle,2,EV_008,Business Writing & Documentation,workshop,online,4,2026-10-12,Communication,0,1.0,10.25
E0072,Botagoz Abenova,QA Engineer,Middle,1,EV_018,Test Automation Bootcamp,course,online,24,2026-10-19,Test Automation; Java,0,2.0,20.0833
E0072,Botagoz Abenova,QA Engineer,Middle,2,EV_008,Business Writing & Documentation,workshop,online,4,2026-10-12,Written Communication,0,1.0,10.25
E0072,Botagoz Abenova,QA Engineer,Middle,3,EV_040,Structured Problem Solving,workshop,offline,4,2026-11-09,Critical Thinking,0,1.0,10.25
E0074,Ksenia Lebedeva,Product Manager,Senior,1,EV_038,Leadership Foundations,course,online,16,2026-10-08,Leadership; Stakeholder Management,1,2.0,120.125
E0074,Ksenia Lebedeva,Product Manager,Senior,2,EV_008,Business Writing & Documentation,workshop,online,4,2026-10-12,Communication,0,1.0,10.25
E0074,Ksenia Lebedeva,Product Manager,Senior,3,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Mentoring,0,1.0,10.0833
E0075,Yulia Volkova,Frontend Engineer,Senior,1,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0075,Yulia Volkova,Frontend Engineer,Senior,2,EV_017,React Patterns & State Management,course,online,16,2026-10-16,React,0,1.0,10.0625
E0076,Andrey Sokolov,QA Engineer,Middle,1,EV_019,API & Performance Testing Workshop,workshop,offline,8,2026-10-16,API Testing,1,1.0,110.125
E0076,Andrey Sokolov,QA Engineer,Middle,2,EV_040,Structured Problem Solving,workshop,offline,4,2026-11-09,Critical Thinking; Teamwork,0,2.0,20.5
E0076,Andrey Sokolov,QA Engineer,Middle,3,EV_008,Business Writing & Documentation,workshop,online,4,2026-10-12,Communication,0,1.0,10.25
E0076,Andrey Sokolov,QA Engineer,Middle,4,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Mentoring,0,1.0,10.0833
E0077,Aizhan Ismailova,HR Business Partner,Middle,1,EV_028,Labor Law & Employee Relations,workshop,online,4,2026-10-12,Labor Law; Employee Relations,2,2.0,220.5
E0077,Aizhan Ismailova,HR Business Partner,Middle,2,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Feedback,0,1.0,10.0833
E0078,Roman Pavlov,Customer Support Specialist,Middle,1,EV_008,Business Writing & Documentation,workshop,online,4,2026-10-12,Written Communication; Communication,0,2.0,20.5
E0078,Roman Pavlov,Customer Support Specialist,Middle,2,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Mentoring; Feedback,0,2.0,20.1667
E0080,Natalia Petrova,Data Analyst,Lead,1,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0080,Natalia Petrova,Data Analyst,Lead,2,EV_008,Business Writing & Documentation,workshop,online,4,2026-10-12,Communication,0,1.0,10.25
E0080,Natalia Petrova,Data Analyst,Lead,3,EV_040,Structured Problem Solving,workshop,offline,4,2026-11-09,Critical Thinking,0,1.0,10.25
E0080,Natalia Petrova,Data Analyst,Lead,4,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Mentoring,0,1.0,10.0833
E0081,Nurlan Zhaksylykov,Customer Support Specialist,Senior,1,EV_035,Technical Troubleshooting Academy,course,online,16,2026-10-09,Technical Troubleshooting,1,1.0,110.0625
E0081,Nurlan Zhaksylykov,Customer Support Specialist,Senior,2,EV_038,Leadership Foundations,course,online,16,2026-10-08,Conflict Resolution,0,1.0,10.0625
E0082,Roman Popov,Frontend Engineer,Senior,1,EV_015,Web Performance Fundamentals,course,self_paced,6,self_paced,Web Performance,1,1.0,110.1667
E0082,Roman Popov,Frontend Engineer,Senior,2,EV_016,Accessible Interfaces,workshop,online,4,2026-10-06,Web Accessibility; HTML & CSS,0,2.0,20.5
E0082,Roman Popov,Frontend Engineer,Senior,3,EV_038,Leadership Foundations,course,online,16,2026-10-08,Leadership; Stakeholder Management,0,2.0,20.125
E0082,Roman Popov,Frontend Engineer,Senior,4,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0082,Roman Popov,Frontend Engineer,Senior,5,EV_040,Structured Problem Solving,workshop,offline,4,2026-11-09,Teamwork,0,1.0,10.25
E0083,Kirill Smirnov,Customer Support Specialist,Senior,1,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Mentoring,1,1.0,110.0833
